epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5636,2.44571,4.03212,1.32496,0,0,0,0,0,19.1114,0,0.00021671,0.00021671,0.00021671
2,29.1024,2.24561,2.80392,1.1368,0,0,0,0,0,19.0675,0,0.000435237,0.000435237,0.000435237
3,43.6073,2.04423,2.18136,1.11287,0,0,0,0,0,19.0327,0,0.000638361,0.000638361,0.000638361
4,57.579,2.05899,1.92574,1.21163,0,0,0,0,0,19.1322,0,0.000826082,0.000826082,0.000826082
